id,text,text_for_vec,text_length
58a63ee2813faf449af827904d32e473,apple norm,apple norm,10
18e0dca8274cfe39ea3da30cd67a029c,"กับความเร็ว แรงที่ชอบ 1,290. 1,990. 2.090. 24.","กับความเร็ว แรงที่ชอบ 1,290. 1,990. 2.090. 24.",46
562872781b8f3a1f44b7125056e31ede,"perplexity จำหน่าย perplexity ai ราคาถูก เพียง 1,700 ต่อปี ไม่ใช่การแซร์บัญชี ใชอีเมลสวนตัว","perplexity จำหน่าย perplexity ai ราคาถูก เพียง 1,700 ต่อปี ไม่ใช่การแซร์บัญชี ใชอีเมลสวนตัว",91
c8cd62137a66bb3ef7e911b1fdd1968e,business manager ปลดล็อกพลังข้อมูล เชือมต่อกลุ่มเป้าหมาย บน line ecosystem line ads 20,business manager ปลดล็อกพลังข้อมูล เชือมต่อกลุ่มเป้าหมาย บน line ecosystem line ads 20,86
38c157bf5c0f39e20ed833fa0d06fcb5,ลด 100. เลย ใส่โค้ด lineman รับเงินคืนรวบ 1000.,ลด 100. เลย ใส่โค้ด lineman รับเงินคืนรวบ 1000.,47
93f0090db5d1f516b691d9763db0edab,"new gen ส่งฟรีลดกันให้จ่ำ ดับร้อนด้วยแอร์ประหยังไฟเบอร์5 8,299.- ผอน","new gen ส่งฟรีลดกันให้จ่ำ ดับร้อนด้วยแอร์ประหยังไฟเบอร์5 8,299.- ผอน",68
cb73703ce1c5905321c97bb815df27c4,"แว้นกรองแสงลดโหด0 1,352 1,470 1,470 2,541","แว้นกรองแสงลดโหด0 1,352 1,470 1,470 2,541",41
d62d443ddd42258a7aff1b454c5ca116,ยักษ์ อ่านใหญ่ 048,ยักษ์ อ่านใหญ่ 048,18
12a98ef55ae171f1d4579a63cd7a9903,academic entrance scholarship,academic entrance scholarship,29
a1ca7cb573e112b9d70f65531f9a0c52,"acer 37,990, 39,990.- amda","acer 37,990, 39,990.- amda",26
01478c67eef67fa9cdc607c91c1b7b7c,ลดสูงสุด,ลดสูงสุด,8
f049f302388642dc6689943b8b85faa9,"เป็นเจ้าของก่อนไคร ราคาฟรือฮเดอร์ 22,900. ราคาปกติ 24,900.-","เป็นเจ้าของก่อนไคร ราคาฟรือฮเดอร์ 22,900. ราคาปกติ 24,900.-",59
dd9fe7df3f3300acddd980703bb6b40a,โค็กลิต32บอด เพียงมา4 ท่านขื้นไป,โค็กลิต32บอด เพียงมา4 ท่านขื้นไป,32
1960a9e4dd6ddefe1be688d66716e7d2,prebiotics strains 16.8 s zinc vitamin ุ,prebiotics strains 16.8 s zinc vitamin ุ,40
e57c1ce58b3cf08ddd7cb017a81605b2,"1,000","1,000",5
72cb1ccafb0a7f17e7dacdb99eacd47a,48 เค่ม,48 เค่ม,7
4c4e8ba1859d0ea5c4dabd3aa4285d25,on 3 5 off top discount ontop,on 3 5 off top discount ontop,29
a4021a340bc1cc844646aab06512a758,"z..x ชีเสิริฟ ความอร่อย 1,250.","z..x ชีเสิริฟ ความอร่อย 1,250.",30
7f55adde0d2bc067e7e3b25a48b46145,kbank แลกรับเครดิตเชินคืน 10,kbank แลกรับเครดิตเชินคืน 10,28
e91a72df0ab2fb8c01e9cad00676d0c5,sale 25 off 23summersale2s,sale 25 off 23summersale2s,26
d68a830271264ac1169a37cf47541024,lego sale 70 mar 25 summer 27-30,lego sale 70 mar 25 summer 27-30,32
055acd65b91e3bf365ff0ab3453b7efa,สำหรับผู้เริ่มต้น,สำหรับผู้เริ่มต้น,17
2641848835f35232a2d29e26a0da9773,มาก่อนได้ก่อน จากัด เริมเวลา 12 00 u.,มาก่อนได้ก่อน จากัด เริมเวลา 12 00 u.,37
0f50ad35fcb5ada890a44e2e6dcddfea,"xs black coffee . xs 250 450. 940 1,000","xs black coffee . xs 250 450. 940 1,000",39
8825126d73f9e0712ae21b1c12a3b13b,"oe steam irown 2z 1,799","oe steam irown 2z 1,799",23
984851dee8a8c19928d952d43c46fb7d,gsb แลกรับเครดิตเงินคืนสูงสุด 15,gsb แลกรับเครดิตเงินคืนสูงสุด 15,32
68fe8df3ec72645cce9c3a9c3110e7da,30,30,2
fbcadecd91b0379ed05a8e1ab924e6f2,central rama9 special รับสิทธิ์จับรางวัลพิเศษ cash 100.,central rama9 special รับสิทธิ์จับรางวัลพิเศษ cash 100.,55
05acb425976f1ff47703c09fac06b604,central rama 083 145 6339,central rama 083 145 6339,25
fe745a0460a18cd83e635187508fe6f5,90,90,2
70219b3c38377a2d4ae3f4c21070e56a,everpink bu1 get1 free 490.-,everpink bu1 get1 free 490.-,28
b2e8dceb2da4fe515bcb1b36dea581f7,"oyson รับ the 40,000","oyson รับ the 40,000",20
3e608377610bce7d342cb98c134eb9e5,sa e 50,sa e 50,7
f228dbac8a401754893b59a004cf088b,,empty_record,0
4233ba1806c16e191a68e5cc50968dea,everpink รับฟรี wingman มูลคา299.-,everpink รับฟรี wingman มูลคา299.-,34
987375ac0c5a168074e6647ba0adc1a1,membercad 199บ,membercad 199บ,14
4b2babc723fde9229922937e677412e4,,empty_record,0
1c207f4bd3fa193c70f360b987a3336d,a50,a50,3
dcf0eb8225a68fac04a8abeaf9eee2fa,mien s women s shoes,mien s women s shoes,20
529f0f94444c8c057e51a012a276d15c,บบ อaิ sieิบ,บบ อaิ sieิบ,12
88bd656ba75395062218e3ca82a8e245,สงกรานต์ะtemบ ลดราคา 813,สงกรานต์ะtemบ ลดราคา 813,24
0f3d131d0d367b6efea52c7f04011b28,everpink 16 ชม.,everpink 16 ชม.,15
fcae83586b817cffb5eb05b52e7e85c4,แลกรับเครดิตเินคืน 100 บาท,แลกรับเครดิตเินคืน 100 บาท,26
03a24bbb2e204354893193a1a45039ba,no.1 ย่านเอกมัย,no.1 ย่านเอกมัย,15
05628b3ef6e98b33480e72dcf2a07d26,super sale off,super sale off,14
3c593405d0caad2c9d7a527a1cd56c3c,ttkbootstrap,ttkbootstrap,12
915bd67ae25e5eeb5a4a9cbf9dd41e66,"macbook pro 14"" macbook 14""m3 max cto 100,900.-","macbook pro 14"" macbook 14""m3 max cto 100,900.-",47
27a69b6b33deb748f79f1fc7e91f496f,sale,sale,4
2b14212a241b807c02e9b3cffede0943,คนพบวิธีย,คนพบวิธีย,9
edfd777d054b0660146272e243e69766,อบรม xcer coding robotics kmitl จัดอบรม ถ่าน coding robotics,อบรม xcer coding robotics kmitl จัดอบรม ถ่าน coding robotics,60
339a235138e64e82da4f45a8a408b698,รับเครติตเขินคืน 13 ttb,รับเครติตเขินคืน 13 ttb,23
119c22b7cc0ca6af4159352442d354b1,999,999,3
89cca39864add5cc8a37af95e8d51fee,konvy มีนานี้.โปรจี้งง ลดทังเดือน 50,konvy มีนานี้.โปรจี้งง ลดทังเดือน 50,36
cc6a7fe78acc310141bd6cf2b84b9f9c,ekkp senior software engineer,ekkp senior software engineer,29
b8e1db4756e2002dc37593c1ee6ed584,exclusie kinc rower deal for you 40,exclusie kinc rower deal for you 40,35
5dd72ab0fcfb7914e1bc4ed385af7eba,piece,piece,5
fd7fe46ec70511126ccce1c08069078c,konv ปปรจิง sewa ซื้อ แถม 368,konv ปปรจิง sewa ซื้อ แถม 368,29
fb382bb2f2002fe3a35947e3c5e04f4d,"18,250.-","18,250.-",8
2125577e877d6678874869e8200d95f9,"macbook pro 14"" m3 max 76,900.-","macbook pro 14"" m3 max 76,900.-",31
85d91f44357fd8593c3b0852e1b6e1a7,"คุม 2 ต่อ เมื่อซื้อสินค้าครบ บาท ลด 1,700 บาท เมื่อชือสินค้าครบ double sale 700","คุม 2 ต่อ เมื่อซื้อสินค้าครบ บาท ลด 1,700 บาท เมื่อชือสินค้าครบ double sale 700",79
b7a03c00212392451b473335a1924fa7,ลดเหลือ 76 บาท,ลดเหลือ 76 บาท,14
5c841df449f7e8a0b95e32cb23c03728,60 sony store,60 sony store,13
f3ebe773fa8c324002e2d0021366ae11,reate creator .,reate creator .,15
3e4e454c4ed98c79f544e441020e0abb,konv ปปรจิง kose ซื้อ แถม 3128,konv ปปรจิง kose ซื้อ แถม 3128,30
ca90bd51055ca88d1642484da8df8d78,us school กลับมา workshop in bangkok,us school กลับมา workshop in bangkok,36
86f31c47cede58ea9e4a3ba5fcb2eead,"วัคซีน 8,500. 20,800,","วัคซีน 8,500. 20,800,",21
3c1ec9f131847750746dfbf0767ca4cf,fresh ปักหมุด soft เสื้อผ้าหอมใกล้ฉัน fresh soft 25 พาษ 26 พิกัด,fresh ปักหมุด soft เสื้อผ้าหอมใกล้ฉัน fresh soft 25 พาษ 26 พิกัด,64
9a4fafd7256fb310e6c0b82989ca7d41,รับ 3500- ขีบไป วับ,รับ 3500- ขีบไป วับ,19
8169be51616484aff5e687cb2da969cf,how to use chatgpt at work,how to use chatgpt at work,26
d36c5dff8c6131a31853c25b770a563e,ลด,ลด,2
79448b01f7b6f78e2a351eb61dd68d91,free cleaning service,free cleaning service,21
8962b6ef8c97ddcef85b82c51438e311,ฝนดี 3 ต่อ sweet dream lucky draw,ฝนดี 3 ต่อ sweet dream lucky draw,33
18b0aba0ac7dd9b7bf1c9e51734e2038,"data science 48 ชัวโมง 3,000.","data science 48 ชัวโมง 3,000.",29
934af448fa4b521023485935497506e5,สมัครขับแกร็บเดื่อนนี้ รับโปรจัดหนักฟรี2 เด้ง เด้งที่ เด้งที2 ร ค่าสมัคร,สมัครขับแกร็บเดื่อนนี้ รับโปรจัดหนักฟรี2 เด้ง เด้งที่ เด้งที2 ร ค่าสมัคร,72
bbbcb8f9e63d0359230ae3738f86a409,nike จัดโปรแรง,nike จัดโปรแรง,14
a79d3eec2975450f053925a2b20de54c,the worlds first entrepreneurshlp apply now,the worlds first entrepreneurshlp apply now,43
bd2371502254f0447d490fb3a0985457,a startup essentlal,a startup essentlal,19
e4f5e0e45902b4078c97c4c3ce6ccb73,ใบ cloud natve with azure container apps,ใบ cloud natve with azure container apps,40
ee6d4148e0e7ec8ba049623c603aecb0,ไม่มิฬิงเกอร์เขฟ ราคา 3550 999 topdf,ไม่มิฬิงเกอร์เขฟ ราคา 3550 999 topdf,36
6d70a3fa3acb24945a36d011decaf553,สูตรไหม่ กลิบ วานิลลา ละมุนเกินต้าน,สูตรไหม่ กลิบ วานิลลา ละมุนเกินต้าน,35
69962deac902a9d81fd77e579b5e1c67,jabra โปรโมขัน 4d,jabra โปรโมขัน 4d,17
e8e68d8d8f3645df402aec170eae178a,advice ผ่อนนานสูงสุด 36 next extra 10 pay,advice ผ่อนนานสูงสุด 36 next extra 10 pay,41
667b0708fac3d61ddf8bb390731ba36d,หลักแกรมมาร์ ออกสอบ toeic,หลักแกรมมาร์ ออกสอบ toeic,25
5ac6f06ed9bf21b2f9dc87ce2660bd75,"mega 3,540.","mega 3,540.",11
49f486cba3140775c79984c24fb30dfd,"logilech - 4190.- ,990.","logilech - 4190.- ,990.",23
bd1faa4278bbc26f7e4154409f401ac7,too,too,3
36f8806bb88150034270eec119049b7a,"dwo6 ซื้อฟรีทุกวัน risk, high return high","dwo6 ซื้อฟรีทุกวัน risk, high return high",41
6f67e51e95a5ae7c3335acb01e008900,",12,400.- 1,000,- istudio",",12,400.- 1,000,- istudio",25
3eee65152ddd5db5e84a4c43c8377729,"bam ดูดีทุกมุมด้วยเอฟเฟิกต์สตูดิโอ ใน windows มุลค่า790,","bam ดูดีทุกมุมด้วยเอฟเฟิกต์สตูดิโอ ใน windows มุลค่า790,",56
9ff15af494420e32c21b08d838109076,happy hour thu 17.00-20.00 asahi tower asahi ปกติ free 999 1แก้วเล็ก,happy hour thu 17.00-20.00 asahi tower asahi ปกติ free 999 1แก้วเล็ก,68
5ddae78710e807fb0e5df238ec1bb091,,empty_record,0
ee33da00298144a43fd2e080792abce3,ลด พิเศษ,ลด พิเศษ,8
d5a82c040f6bad4aa596d95dc2a08bf7,280บ juice grabfood,280บ juice grabfood,19
acd030d42bbb538b35ef9ebdefd0eaa4,. . .,. . .,5
4ad2868f4af9818947bdb630dc9b45c6,สุงสุดวันละ 200 บาท,สุงสุดวันละ 200 บาท,19
23f4f4d38470b178e549829306be070a,",3,590.-",",3,590.-",8
c514ab8546156c541389280c9d6329d6,qdบาท เรียนชีววิทยา เข้าใจเนื้อหา ในราคาประหยัด,qdบาท เรียนชีววิทยา เข้าใจเนื้อหา ในราคาประหยัด,47
3046a20c57d16f34f0d043f6eb8758c7,"สลักชือฟรี . . gen4 1,290.","สลักชือฟรี . . gen4 1,290.",26
ba70a1fd2391851c3f08c7001353ce52,. gaga overload m gac แก้วละ 40 บาท ใส่โค้ด lineman' เมนูถัง คนสังเยอะ รีวิว,. gaga overload m gac แก้วละ 40 บาท ใส่โค้ด lineman' เมนูถัง คนสังเยอะ รีวิว,76
bf36e3ca2425524f888153e405cbf34e,,empty_record,0
d5adec485734443d781b334e6c42e918,รับส่วนลดคอร์สเรียน generative ai prompt engineering idem,รับส่วนลดคอร์สเรียน generative ai prompt engineering idem,57
9eabc965580dfe3479fd24e934fd1b67,ม.1 amo1 900 popmath,ม.1 amo1 900 popmath,20
fa1ab7107e4a544835d635b96b393b5b,30,30,2
27c0bc5e1cbf29419a1c732dfe4943e5,"sm4kit 13,900 รับฟรี","sm4kit 13,900 รับฟรี",20
605888db1471bd0bd1c26df21d63d17f,"insta360 think bold. insta360 x4 16,000","insta360 think bold. insta360 x4 16,000",39
5aaf4b60e0ede0929d34212307a081a8,bingo กิจกรรมรวบสนุก ทายเลขท้ายสองตัว รับ voucher บูลค่า 2000,bingo กิจกรรมรวบสนุก ทายเลขท้ายสองตัว รับ voucher บูลค่า 2000,61
3a38e74ac37812912805190f2bccb7e3,ชี้เป้า office แท้ ลด ราคา สวนสด 8500,ชี้เป้า office แท้ ลด ราคา สวนสด 8500,37
c72e23288d7ebeb926b0cbe02b4997d9,summer hbody,summer hbody,12
e6a9eab13a1c64b2c6f1fc20ab879dc1,โปรทดลอง are 499 จัดสงฟรี yes,โปรทดลอง are 499 จัดสงฟรี yes,29
7d8314b18e18c07fc126a99f4955d657,u. store watch ควบคุมทุกกิจกรรม บนข้อมือคุณ,u. store watch ควบคุมทุกกิจกรรม บนข้อมือคุณ,43
d0292dcadc048fe40722541d6146c11e,"อายุผิวหนัา ขือ5 8,500.","อายุผิวหนัา ขือ5 8,500.",23
1909abc4570036bf6a51767980e0a1dc,"รากฟันเทียม ครอบฟืนเชรามิกล้วน 39,990.","รากฟันเทียม ครอบฟืนเชรามิกล้วน 39,990.",38
26cfccd50c6a5e4def5895e0f3ca79f5,.,.,1
23b8a47a72c52aede78de398cfcb7ba2,"up to siie 15 "" 6 50","up to siie 15 "" 6 50",20
c0692452b15028daa30ef22353fece8b,march sala 50,march sala 50,13
74b35fa3bcaf7543b870e2f077d53702,ช่วยผู้ประสบภัย ไทยพาณิชย์,ช่วยผู้ประสบภัย ไทยพาณิชย์,26
cdaf16564d5b888164b119bed93c5417,,empty_record,0
2776a9d67fed520ffd5f357250b1225c,เปิดบ้านครุศาสตร์ จุฬาฯ,เปิดบ้านครุศาสตร์ จุฬาฯ,23
1645e458227b6eb11bd3739497fb6c90,"225 โปรจับคู่หน้าเรียว ร้อยเหม4 เสิน 9,999","225 โปรจับคู่หน้าเรียว ร้อยเหม4 เสิน 9,999",42
ca6ef568afcd98597dc017f4f41c6e29,พิสูจนพลลัพธ ดูอิ่มน้ำทันที 240 20,พิสูจนพลลัพธ ดูอิ่มน้ำทันที 240 20,34
c4feb5b94ed8278b3e8ac70795125aa2,15. 420 60.,15. 420 60.,11
7d89bf6bcd7e5be185392a488570d24d,"mesofat สลายไขมันเฉพาะจุด'ลดการสะสมของไขมัน 2,990.","mesofat สลายไขมันเฉพาะจุด'ลดการสะสมของไขมัน 2,990.",50
ac3e90d6227c7d2abb1ea84155a07705,"เรียวยกแผง 19,900 ultrafarmer","เรียวยกแผง 19,900 ultrafarmer",29
5405bac192fb330670c1fd84b2e9bb19,"kama 1,999.- ยู้","kama 1,999.- ยู้",16
cc4c660f150a5ea7d1ef7f42acf5781d,"ลดสูงสุด 50 ธับsamgiftcard สูงสุด20,000.-""","ลดสูงสุด 50 ธับsamgiftcard สูงสุด20,000.-""",42
7f128c2155ba3bc7c5f200ad17a0693e,"เปลียนหน้าดุ fix เป็นหน้าละมุน 69,000.","เปลียนหน้าดุ fix เป็นหน้าละมุน 69,000.",38
eaf371afc5cdf8619fa411a2e01ca728,"lift up chair 44 29,900.-","lift up chair 44 29,900.-",25
9d11c63900a65a04581d00169ce31249,"599. 249,","599. 249,",9
a8bae96da7ca5e8e4b0ebf58b6b94670,"black swan"" คืออะไร black","black swan"" คืออะไร black",25
b35102aafaf91000bb66abedc84b4d16,"inbody inbody h3onwi 12,510.-","inbody inbody h3onwi 12,510.-",29
ebcc0214ad07bf7a38a1e6c63a59917b,งความสำเร็จธวนความรู้ ลดสูงสุด2 5,งความสำเร็จธวนความรู้ ลดสูงสุด2 5,33
c62ab2c8017e0f4eb8719440d84112c4,".ง 3,999",".ง 3,999",8
60225a2c3442a68f0bb9d551dc886537,1234 sahui,1234 sahui,10
6bb0ee957fdb5a2f384b6f5c5e729a5e,venice,venice,6
078bd8937ea34406099f43d393d523fd,1,1,1
3d26eb0f364515ae7e41ac26a6ea6de3,"สนใจ bmw x3 คลิก 33,xxx.","สนใจ bmw x3 คลิก 33,xxx.",24
4f5b2676c3ccec5f2531e50b9c76b100,แถม 1 ultherapy 2 sculptra juelook อีดหนัาla ทุทยิท้อ,แถม 1 ultherapy 2 sculptra juelook อีดหนัาla ทุทยิท้อ,53
4987a781d9e3348ba2a2957e2d859863,blossoms like never before,blossoms like never before,26
60eb3ee6ecd1db948f5f211837b2ee76,ยกทัพ46บท 35เอเจนซี สถาบันการศึกษา เข้าฟรี,ยกทัพ46บท 35เอเจนซี สถาบันการศึกษา เข้าฟรี,42
2dc506348ae568e419ee078da44d3c3d,ออกรถวันนี้รับ ดีลพิเคษ otor ออกรถเริ่มต้นเพียง ผ่อน,ออกรถวันนี้รับ ดีลพิเคษ otor ออกรถเริ่มต้นเพียง ผ่อน,52
22e148d2f16d8baef4615f397b4bc150,ล่องเรือ เจ้าพระยา 599,ล่องเรือ เจ้าพระยา 599,22
c87654991a43e9ae943d6c68c58667f4,advice ซ่อมฟรี ค่าแรง มือถือ,advice ซ่อมฟรี ค่าแรง มือถือ,28
65bb3389df35c4c5d317ea4c3d542d32,จอง โปรโมชัน เดือน,จอง โปรโมชัน เดือน,18
5999733f28f9f78f61a3fb23c0ed2aa5,ไอเทมเด็ด ช้อปง่าย ผ่อนสบาย,ไอเทมเด็ด ช้อปง่าย ผ่อนสบาย,27
4a13951faedcd6812cdb8ad06487f42e,. แจกฟรีโหลดด่วน กดกันได้เลย epic games store,. แจกฟรีโหลดด่วน กดกันได้เลย epic games store,45
5264e3c5643c6b7c79acb684bb03f834,"motor show special certified pre owned deals พิเศิษ 3,790,000","motor show special certified pre owned deals พิเศิษ 3,790,000",61
16f1f7c21ac4c1df79ec8f676776f5e3,ชัมเมอร์เซฟี ลดสูงสูด 500 - 000 -,ชัมเมอร์เซฟี ลดสูงสูด 500 - 000 -,33
a89d8f3ec13b8fb021183eed9b28c7c6,boom พุ่งทะยานสู่ความมันส์ ใจกลางกรุง boombaybay2,boom พุ่งทะยานสู่ความมันส์ ใจกลางกรุง boombaybay2,49
04771f6089ca8461006dd2bcb57fe6b0,,empty_record,0
3f6d06ad30f914551dbfed5d68c712f4,"เริ่ม1,500 inight","เริ่ม1,500 inight",17
