Image,Words
Amazon_Product_8.jpeg,"['ไห', 'ทะ', 'แล', 'วน', 'เธลรตพห', 'เพรา', 'ถก', 'นแ', 'แพ', 'ธร', 'โห', 'ธิรธ', 'ธาร', 'พห', 'ชะ', 'เซ', 'ยา']"
Amazon_Product_9.jpeg,"['อิท', 'ฯลเทร็อหลร', 'ทา', 'เท', 'ธห', 'ฟ้า', 'นร', 'ศุนอรจอ', 'เอ', 'ไฮ', 'ทล', 'รท', 'ไน', 'สโ', '๐๒๐', 'รร', 'รร', 'รร', 'รร', 'รร', 'ใส่', 'อลปฟัทธิอหพิอทสส่ร', 'อส', 'ธทรรรรรร', '๓๓๓๓๓๓', '้หต', 'ซิ', 'ไอ', 'ไท', 'ต์', 'ไฮ', 'ไอ้', 'ลธหอนู่ห์ร', 'เส', 'อวน', 'ไฮ', 'วบนลอ', 'คอก']"
Ebay_Product_1.jpeg,"['๓๐', 'ทาม', 'เทค', 'ธครฝฝ', 'ซี่', 'นล', 'ระ', 'เตรน', 'สร', 'ฝย', 'ชิ', 'ยรนรห', 'อแมพเศม', 'ไต', 'ยู', 'วปนย', 'นอง', 'ลก', 'ชนะ', 'รบ', 'นร', 'คยฆยย้็ั', 'อา', 'จร', 'ไจ', 'คา', 'เร', 'ฑมผยรบท', 'ธรณ', 'ยไาล์ฝฮืไีฏ้', 'งา', 'ะจเลลงจลม', 'ล้อ', 'พธะจง', 'ไฟ', 'ยับ', 'กง', 'สนน']"
Ebay_Product_10.jpeg,"['สม', 'หหธะใหท']"
Ebay_Product_11.jpeg,['ธา']
Ebay_Product_12.jpeg,[]
Ebay_Product_13.jpeg,['จอ']
Ebay_Product_14.jpeg,"['เร', 'ซ่เว']"
Ebay_Product_15.jpeg,[]
Ebay_Product_16.jpeg,['งพ']
Ebay_Product_17.jpeg,[]
Ebay_Product_18.jpeg,[]
Ebay_Product_19.jpeg,[]
Ebay_Product_2.jpeg,['อ้']
Ebay_Product_20.jpeg,[]
Ebay_Product_21.jpeg,[]
Ebay_Product_22.jpeg,[]
Ebay_Product_23.jpeg,[]
Ebay_Product_24.jpeg,[]
Ebay_Product_25.jpeg,"['สปรรรชค', 'เพ', 'ชี', 'เร', 'ผิ']"
Ebay_Product_26.jpeg,['กง']
Ebay_Product_27.jpeg,"['ธน', 'ปี', 'ช่อ', 'รร', 'อพ']"
Ebay_Product_28.jpeg,[]
Ebay_Product_29.jpeg,[]
Ebay_Product_3.jpeg,"['ไล', 'เพรา', 'ผา', 'แพ', 'มธ', '๑๒', 'ผงร', 'รพี', 'วธิยผ', 'แร', 'แผพ', 'รบ', 'ระ', 'นร']"
Ebay_Product_30.jpeg,[]
Ebay_Product_31.jpeg,[]
Ebay_Product_32.jpeg,['สภเษรออไ']
Ebay_Product_4.jpeg,[]
Ebay_Product_5.jpeg,['ฮี']
