Image,Words,CTA
Facebook_Product_205.jpeg,"['ดู', 'อต', 'แหล', 'ไก', 'กุ', 'กก', 'ศัทิกงทกต', 'ปี', 'ต่ว', 'แข', 'ปง', 'ทยแน', 'ตา', 'แร', 'เห', 'เบอร์', 'วร', 'โน', 'ชั่น', 'ริบ', 'ส่วนลด', 'แอด', 'ไลน์', 'เแทล', 'โทร', 'เว']",1
Facebook_Product_207.jpeg,"['๑๐๐', 'ทา', 'หา', 'ธท', 'ไร่', 'วม', 'แพ', 'ฑาท', 'หา', 'อทหธรอทส', 'ธร', 'ทล', 'เธ', '๐๓๒', 'ปิ', 'ท่ง', 'ครบเครื่อง', 'เรื่อง', 'ขับ', 'แกร็บ', 'เวร', '๐๐๐', 'สมัคร', 'ขับ', 'รีบ', 'โปร', 'หนัก', 'เด้ง', 'ทม', 'จสมครขบ', 'รบ', 'เด', 'อวน', 'นณ', 'รู', 'โปร', 'หนัก', 'พู', 'ฟรี', 'แตด้', 'โปร', 'หนัก', 'แฟรแด้งงทิแน', 'เค', 'งก', 'กระเป๋า', 'แกร็บ', 'ใบ', 'กลาง', 'คา', 'สม', 'คร', 'รับงาน', 'ครบรอบ', 'คนขับ', 'ระบบ', 'เดือน', 'กด', 'รอ', 'คลิก', 'นี', 'สมัคร', 'ขับ', 'เฮ', 'ทน', 'งาน', 'อิสระ', 'สํา', 'หรับ', 'คน', 'มอเตอร์ไซค์', '๐๑๐๐', 'ทา', 'ทา', 'อท่ว', '๐๐', 'ทา', 'หา', 'อท', 'เจิดจ้า', 'บุญ', 'เด้ง', 'ดีมาก', '๕๕๐', 'นพ', 'ปู่', 'ทอ', '๐๐', 'ทา', 'หา', 'อทน์อขอข', 'อู', 'ฑา']",1
Facebook_Product_232.jpeg,"['รเว', 'ร้อย', 'ไหม', 'เส้น', 'เติมเต็ม', 'ใบหน้า', 'โปรแกรม', 'ร้อย', 'ไหม', 'กระชับ', 'ไบ', 'หน้า', 'เลือก', 'รุ่น', 'บริเวณ', 'เหมาะสม', 'ทีม', 'แพทย์', 'สาขา', 'หมอ', 'นุ่น', 'โอน', 'จอง', 'บริการ', 'เมษายน', 'แพ', 'าะ', 'โอน', 'จฮง', 'ท่อน', 'บริการ', 'สลิป', 'ยื่น', 'รัน', 'สิทธิ์', 'หน้า', 'เศาษ์เตอร์', 'ไน', 'วัย', 'บา', 'ริ', 'โปรโมชั่น', 'ฟิ', 'เศษ', 'ร่วมกับ', 'แทม', 'สด', 'โปร', 'โพ', 'ชั่น']",1
Facebook_Product_234.jpeg,"['๑๐', 'ราก', 'ปน', 'เทียม', 'ครอบ', 'ปฟ', 'ปัน', 'เซรามิก', 'งรไล', 'บิ', 'อทร', 'หรา', 'คา', 'ปกติ', 'ครอบ', 'ปน', 'เซรามิก', '๐๐', 'เค', 'ราก', 'เทียม', 'ไบโอ', 'เท็ม', 'กา', 'เกาหลี', 'ค่า', 'ยา', 'ปรึกษา', 'คุณหมอ', 'รี', 'รน', 'จ่า', 'ครั้งแรก', 'เญขียง', 'แบ่ง', 'จ่าย', 'ทันตแพทย์', 'เฉพาะทาง', 'คลินิก', 'ทันตกรรม', 'ซี', 'สไมล์', 'อุบ', 'ลิต', 'เก', 'จอง', 'คิว', 'ทําป', 'ฟัน', 'ริ', 'สาขา', 'วา', 'ริน']",1
Facebook_Product_237.jpeg,"['ณิ', 'เส', 'ๆสวผู', '๕๑๕๑', 'ะบจวลคเม่', '๒๒', 'ผี', 'ระ', 'สบ', 'ภัย', 'ขอบ', 'คุณภาพ', 'โห', 'ยม', 'โฆ', 'ธนา', 'คร', 'ไทย', 'พาณิชย์', 'บัญชี', 'มูล', 'นิ', 'พัฒนา', 'มพ', 'ผา', 'วิทยาลัย', 'เชียงใหม่', 'เซ', 'เวล', 'เม', 'เลข', 'บัญชี', 'สลิป', 'โอน', 'เงิน', 'ได้ที', 'ร็ต', '๑๒๐๐', 'วิ', 'ยู', 'มูลนิธิ', 'พัฒนา', 'วิทยาลัย', 'เชียงใหม่', 'ใแทธไค่', 'โอ', 'นท', 'สต', 'เอ', 'ทาน', '๒๑', 'มูล', 'นิ', 'ธี', 'พัฒนา', 'มหาวิทยาลัยเชียงใหม่', 'พรือบ', 'รี', 'จา', 'ระบบ', 'อี', 'ส่', 'ทสอทรรว', 'ตท', 'แท', 'รา', 'สอบถาม', 'รายละเอียด', 'โทร']",1
Facebook_Product_239.jpeg,"['ไซ', 'ทอ', 'เร', 'ไต', 'ออ', 'เต', 'งา', 'เท', 'การศึกษา', '๐๐', 'หอง', 'ค่าเรียน', 'สํา', 'หรับ', 'ปริญญา', 'รี่', '๐๐', 'นร', 'อพ', 'อะ', 'เก', 'รแต', 'ชวา', 'แผน', 'การเรียน', 'กา', 'รง', 'อวล', 'ออสเตรเลีย', 'จยแ', 'วี', 'ชํา', 'งาน', 'ออสเตรเลีย', 'ปี', 'เรี่ย', 'นจ', 'รจ', 'แล', 'รา', 'เต', 'แนสง', 'เรียน', 'นจกจ', 'เจ', 'ซื', 'เซ', 'ฉังง', 'สมัคร', 'ระ', 'แฮะ', 'ฟรี', 'ค่า', 'ดํา', 'ษัน', 'ตอน', 'เจ', 'สอบถาม', 'แล']",1
Facebook_Product_246.jpeg,"['๕๑๐๐๒', '่ว', 'ทท', 'เท', 'ลทท', 'ธลหธ', 'หา', 'งาน', 'ภาษาอังกฤษ', 'ล่าม', 'อังกฤษ', 'สอน', 'ภาษ', 'เห', 'เอ', 'พิ', 'ทาน', 'หท', 'วิทยาลัย', 'ผู้ประกอบการ', 'สร้างสรรค์', 'นานาชาติ', 'รัตนโกสินทร์', 'มหาวิทยาลัย', 'เทคโนโลยี', 'ราชมงคล', 'รัตน', 'ใก', 'สิ', 'นทร์พืน', '๐๐', 'ทา', 'ตฯะง', 'สมัคร', 'พนักงาน', 'วิทยาลัย', 'ขัตํา', 'แห', 'น่ง', 'นักวิชาการ', 'ศึกษา', 'โครงการ', 'คุณวุฒิ', 'ปริญญาตรี', 'อัตรา', 'อัตรา', 'ค่าตอบแทน', 'บาท', 'ค่าตอบแทน', 'ทักษะ', 'ภาษาต่างประเทศ', 'วันที่', 'เมษายน', 'อม', 'สาม', 'รายละเอียด', 'หิ่น', 'เติม', 'ได้ที', 'โทร', 'ๆฯว', 'มหาวิทยาลัย', 'เทคโนโลยี', 'ราชมงคล', 'รัตนโกสินทร์', 'สม', 'บัง', 'าน', 'บุคคล', 'วิทยาลัย', 'รัตนโกสินทร์', 'วิธี', 'การสมัครงาน', 'วิทยาลัย', 'ชั่ว', 'บมแ', 'ทา', 'เท', 'ทรท', 'รท', 'ลเธ', '๐๓๐', 'ฯหไส่', '๐๒', 'ท่อ', 'ทสร', 'ไหล', '๑๐', 'ลอรฝอพกลอทร', 'อทนอข', 'อู', 'แฑา']",1
Facebook_Product_247.jpeg,"['าะ', 'ชา', 'หส', 'จอง', 'โปร', 'โม', 'ชี', 'เดือน', 'ผ่อน', 'เดือน', 'รวมทั้งหมด', 'นต', 'แพทย์', 'ชํา', 'นา']",1
Facebook_Product_258.jpeg,"['แล', 'เต', 'เลีย', 'ฉน', 'าเริย', 'ปฏิ', 'ร่วม็', 'บท', 'สส', 'ทัด', '๒๐', 'เท', 'ตฟ', 'สมัคร', 'ทุน', 'สัมมนา', 'ออน', 'ไค', 'น์', 'คํา', 'ตอบ', 'เส', 'ดะ', 'รล', 'แพ', '๐๐', 'หา', 'อฮต่น', 'ลน', 'อทไลเณอทเลทย', 'ไล่', 'เท', '๒๐๒']",1
Facebook_Product_26.jpeg,"['อส์บเณ', 'ไห้', 'ทอง', 'สง', 'คธิ', 'บัส', 'โฮ', 'ทัง', 'ทธิ', 'บร', 'โท', 'ธร', 'รธร', 'ซิ', 'โท', 'รท์ท', 'ยู', 'ชะ', 'อี', 'ทอ', 'เวหอทอบ', 'เรท', 'โอ', 'เชเฟธิป']",1
